Label,char_count,word_count,title_word_count,stopword_count,upper_case,subjectivity,polarity,noun_count,conjuction_count,adjective_count,pronoun_count,adverb_count,prepositions_count,verb_count
Fake,1169,223,9,38,37,0.2625,-0.024999999999999998,68,15,12,32,6,9,54
Fake,2291,376,18,57,146,0.4625679875679876,0.11080031080031083,164,45,31,37,22,9,91
Fake,1381,247,11,34,68,0.5585309617918314,0.11172595520421606,89,24,21,32,5,5,62
Fake,503,93,9,23,144,0.4761904761904762,0.28303571428571433,56,14,1,4,1,0,11
Fake,7381,1317,9,86,221,0.43461675579322656,0.12670995670995666,413,160,94,143,56,35,299
Fake,1496,271,4,38,58,0.24869281045751634,0.08169934640522876,92,34,9,20,10,17,60
Fake,1104,190,16,32,29,0.49051587301587296,0.11948412698412696,61,28,16,17,10,4,37
Fake,4365,677,9,50,247,0.2703002244668912,0.048744388327721655,334,94,37,25,20,19,92
Fake,1271,209,9,37,64,0.41917989417989415,0.2183862433862434,89,28,20,13,10,6,42
Fake,2763,425,8,48,170,0.5022048611111111,0.1859185606060606,172,44,43,30,19,5,84
Fake,1162,186,10,40,28,0.4175,0.06,66,28,16,8,5,1,35
Fake,3114,534,13,60,64,0.5765579710144927,0.26637681159420284,161,70,51,58,38,11,104
Fake,1526,242,12,32,68,0.4104395604395605,0.1835164835164835,93,38,11,12,6,6,36
Fake,2637,456,12,59,59,0.4747159090909091,0.16167478354978354,130,56,60,27,30,18,91
Fake,1747,300,10,42,77,0.5911616161616162,-0.0002525252525252516,116,36,30,14,12,7,52
Fake,881,153,11,31,35,0.6658333333333334,0.05,52,19,9,8,7,4,34
Fake,775,131,13,25,37,0.4825,0.065,59,18,12,7,1,4,22
Fake,8137,1386,10,75,275,0.4098856489422528,0.04822715020828227,578,165,121,87,44,46,289
Fake,1137,182,14,25,40,0.546969696969697,0.20909090909090908,70,14,12,13,4,5,34
Fake,991,168,21,36,36,0.5013157894736842,0.04736842105263157,61,23,21,19,10,2,42
Fake,2120,379,11,54,85,0.40600907029478456,0.020249433106575968,134,50,31,37,24,14,74
Fake,1083,169,9,23,47,0.2948717948717949,0.13333333333333333,68,12,11,7,1,16,38
Fake,2470,365,11,49,94,0.4418253968253967,0.11164058164058162,147,37,44,14,20,13,68
Fake,2005,324,14,40,60,0.4385874877810362,0.11864613880742915,121,42,36,13,13,11,58
Fake,2011,339,13,42,94,0.4524154589371981,0.10682367149758454,110,41,27,35,22,15,87
Fake,3310,516,18,60,122,0.5392473118279572,0.09381720430107526,194,70,36,36,23,19,120
Fake,1571,263,11,33,83,0.43243546576879904,0.003619528619528621,96,31,29,9,13,7,49
Fake,1415,238,9,33,73,0.3941501831501831,0.05766300366300366,95,28,21,18,5,6,55
Fake,2317,402,10,54,82,0.552733860342556,0.08359683794466402,134,51,21,49,18,9,99
Fake,2925,469,14,49,57,0.446125,0.050229166666666686,146,71,43,12,21,20,75
Fake,1271,242,7,50,54,0.4776679128951856,0.07096451528269711,79,26,22,32,9,7,58
Fake,1525,281,13,45,57,0.4977272727272727,0.2670454545454545,87,32,25,30,13,5,65
Fake,1502,245,9,37,50,0.4263000374111485,0.0076225215114103986,89,31,18,13,17,9,49
Fake,1969,324,12,37,86,0.4755952380952382,0.06000000000000004,135,42,25,13,12,13,61
Fake,1713,260,15,32,44,0.5388888888888889,0.04126984126984126,84,35,28,10,6,6,50
Fake,1214,207,8,30,39,0.5135714285714287,0.08873626373626373,70,21,16,12,13,6,43
Fake,1261,205,10,40,78,0.3833333333333333,0.15,83,31,12,13,5,7,34
Fake,2400,399,7,54,126,0.4642939814814815,-0.05572916666666667,168,44,28,31,20,11,94
Fake,2376,415,12,50,83,0.6024971352177234,0.04089211442152618,157,51,32,45,17,10,103
Fake,1460,243,6,33,49,0.3257575757575758,0.05,107,32,19,13,8,8,36
Fake,1189,203,6,37,146,0.4485294117647059,0.040508021390374335,102,23,14,11,9,6,34
Fake,3621,585,5,64,181,0.4863435374149661,0.18491496598639456,213,91,44,23,26,25,99
Fake,1232,196,8,35,33,0.5,0.013020833333333336,66,26,16,5,14,4,38
Fake,2500,399,10,48,132,0.4056469456469456,0.026326358826358816,161,54,25,25,21,11,79
Fake,2123,326,9,42,83,0.5246666666666667,0.16860606060606062,128,42,30,18,12,12,59
Fake,11680,1843,10,84,491,0.4014659555420425,-0.0013367369345630225,834,235,146,43,67,64,308
Fake,1646,267,13,33,89,0.37096117424242425,0.049981060606060584,110,27,33,14,13,2,51
Fake,1833,341,11,51,92,0.7072034447034448,-0.5151715876715875,115,28,38,45,8,10,81
Real,13026,2043,10,87,708,0.3099941437872472,0.1012724711431608,887,234,207,121,52,49,263
Real,9556,1558,12,80,347,0.4105113636363637,0.09520677333177334,541,183,181,101,66,46,320
Real,9763,1553,7,81,1134,0.4882226462995693,0.06858493358493359,685,168,122,95,77,26,283
Real,10592,1914,10,97,320,0.5720843244057531,0.06805599162742018,558,240,202,206,95,43,407
Real,5498,977,10,78,167,0.4841309924643257,-0.04959475709475709,298,134,93,91,44,24,197
Real,789,131,11,25,37,0.43385416666666665,-0.1390625,63,19,8,10,5,1,22
Real,1132,180,4,34,32,0.3810119047619047,0.1036309523809524,70,23,24,3,10,2,34
Real,9472,1540,6,92,403,0.4892940771349861,0.14327307162534436,518,180,89,90,57,53,289
Real,6783,1205,6,79,252,0.5305828577987668,0.11228822314049586,422,131,97,131,67,36,259
Real,27638,4942,14,107,664,0.4959517844926215,0.0800232906756812,1408,557,480,417,398,141,922
Real,1616,271,13,44,49,0.44570707070707066,-0.09677033492822966,79,26,16,22,19,7,60
Real,8196,1358,9,80,204,0.5491990680064074,0.003985960522657774,416,150,123,90,45,35,269
Real,3533,609,7,57,188,0.4339132061354285,0.053095772540216975,205,50,51,68,21,12,144
Real,5213,908,7,77,132,0.5060030481378796,0.1293490685344618,265,98,104,82,49,33,195
